,Make,Fatality.Count,Make.Count,Make.Fatality.Percentage
47,Waco,6,141,4.0
26,Airbus,15,289,5.0
55,Grumman-Schweizer,6,116,5.0
4,Boeing,167,2621,6.0
24,Hiller,23,343,7.000000000000001
48,Let,10,135,7.000000000000001
43,Balloon Works,10,147,7.000000000000001
56,Helio,9,113,8.0
40,Airbus Industrie,12,154,8.0
10,Schweizer,71,757,9.0
