,Event.Id,Aircraft.Category,Amateur.Built,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Date,Location,Country,Weather.Condition,Incident.Severity,State,Year,Region,Number.of.Passengers,Aircraft.Size
5,20170710X52551,Airplane,No,Turbo Fan,0.0,0.0,1.0,44.0,1979-09-17,"BOSTON, MA",United States,Vmc,0,MA,1979,Northeast,45.0,Small
80,20020917X01765,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-01-12,"CLARKSBURG, WV",United States,Vmc,0,WV,1982,South,2.0,Personal
93,20020917X02538,Airplane,No,Turbo Prop,0.0,1.0,2.0,12.0,1982-01-15,"JAMAICA, NY",United States,Vmc,0,NY,1982,Northeast,15.0,Small
95,20020917X01625,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1982-01-15,"NEAR NUIQSUT, AK",United States,Vmc,0,AK,1982,West,4.0,Personal
103,20020917X01967,Airplane,No,Turbo Prop,0.0,0.0,3.0,0.0,1982-01-17,"DELTA, UT",United States,Vmc,0,UT,1982,West,3.0,Personal
118,20020917X01908,Airplane,No,Turbo Prop,3.0,0.0,0.0,0.0,1982-01-19,"ROCKPORT, TX",United States,Imc,1,TX,1982,South,3.0,Personal
119,20020917X01766,Airplane,No,Turbo Prop,0.0,0.0,0.0,1.0,1982-01-19,"WASHINGTON, DC",United States,Imc,0,DC,1982,South,1.0,Personal
129,20020917X02397,Airplane,No,Turbo Prop,0.0,0.0,0.0,6.0,1982-01-19,"MIAMI, FL",United States,Vmc,0,FL,1982,South,6.0,Personal
149,20020917X01767,Airplane,No,Turbo Fan,0.0,0.0,0.0,2.0,1982-01-22,"LOUISVILLE, KY",United States,Vmc,0,KY,1982,South,2.0,Personal
155,20020917X01909,Airplane,No,Turbo Fan,2.0,4.0,24.0,182.0,1982-01-23,"BOSTON, MA",United States,Imc,1,MA,1982,Northeast,212.0,Jumbo
191,20020917X01768,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-01-29,"ATLANTA, GA",United States,Vmc,0,GA,1982,South,2.0,Personal
214,20020917X02480,Airplane,No,Turbo Prop,0.0,5.0,2.0,0.0,1982-02-01,"GROTON, CT",United States,Imc,0,CT,1982,Northeast,7.0,Personal
221,20020917X01784,Airplane,No,Turbo Jet,0.0,0.0,0.0,4.0,1982-02-01,"ANDERSON, IN",United States,Vmc,0,IN,1982,Midwest,4.0,Personal
229,20020917X01923,Airplane,No,Turbo Prop,0.0,0.0,6.0,0.0,1982-02-03,"HAYDEN, CO",United States,Imc,0,CO,1982,West,6.0,Personal
230,20020917X01910,Airplane,No,Turbo Fan,0.0,1.0,0.0,154.0,1982-02-03,"PHILADELPHIA, PA",United States,Imc,0,PA,1982,Northeast,155.0,Large
279,20020917X01769,Airplane,No,Turbo Prop,0.0,0.0,0.0,10.0,1982-02-09,"BIRMINGHAM, AL",United States,Imc,0,AL,1982,South,10.0,Personal
294,20020917X02571,Airplane,No,Turbo Prop,0.0,0.0,0.0,7.0,1982-02-12,"JAMAICA, NY",United States,Vmc,0,NY,1982,Northeast,7.0,Personal
320,20020917X02336,Airplane,No,Turbo Jet,0.0,0.0,0.0,119.0,1982-02-15,"ONTARIO, CA",United States,Imc,0,CA,1982,West,119.0,Large
334,20020917X01727,Airplane,No,Turbo Prop,8.0,0.0,0.0,0.0,1982-02-16,"SPRINGFIELD, KY",United States,Imc,1,KY,1982,South,8.0,Personal
335,20020917X01807,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1982-02-16,"COLUMBUS, OH",United States,Imc,0,OH,1982,Midwest,4.0,Personal
336,20020917X01911,Airplane,No,Turbo Prop,0.0,0.0,3.0,36.0,1982-02-16,"KING SALMON, AK",United States,Vmc,0,AK,1982,West,39.0,Small
346,20020917X02630,Airplane,No,Turbo Prop,0.0,0.0,0.0,16.0,1982-02-18,"BOISE, ID",United States,Vmc,0,ID,1982,West,16.0,Small
351,20020917X02151,Airplane,No,Turbo Jet,0.0,0.0,0.0,83.0,1982-02-19,"HARLINGEN, TX",United States,Imc,0,TX,1982,South,83.0,Medium
377,20020917X01912,Airplane,No,Turbo Prop,1.0,10.0,1.0,0.0,1982-02-21,"PROVIDENCE, RI",United States,Vmc,1,RI,1982,Northeast,12.0,Small
386,20020917X01813,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1982-02-21,"BLOOMINGTON, IN",United States,Vmc,0,IN,1982,Midwest,4.0,Personal
407,20020917X01898,Airplane,No,Turbo Prop,0.0,0.0,0.0,12.0,1982-02-24,"CHICAGO, IL",United States,Vmc,0,IL,1982,Midwest,12.0,Small
419,20020917X01770,Airplane,No,Turbo Prop,0.0,0.0,0.0,3.0,1982-02-26,"ATLANTA, GA",United States,Imc,0,GA,1982,South,3.0,Personal
506,20020917X02477,Airplane,No,Turbo Fan,1.0,0.0,0.0,0.0,1982-03-08,"LAS VEGAS, NV",United States,Vmc,1,NV,1982,West,1.0,Personal
522,20020917X02338,Airplane,No,Turbo Fan,0.0,0.0,0.0,68.0,1982-03-10,"LONG BEACH, CA",United States,Vmc,0,CA,1982,West,68.0,Medium
532,20020917X02572,Airplane,No,Turbo Prop,0.0,0.0,0.0,30.0,1982-03-11,"FLUSHING, NY",United States,Imc,0,NY,1982,Northeast,30.0,Small
547,20020917X02196,Airplane,No,Turbo Jet,0.0,0.0,0.0,2.0,1982-03-12,"CHINO, CA",United States,Vmc,0,CA,1982,West,2.0,Personal
568,20020917X01833,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1982-03-13,"BRYAN, OH",United States,Vmc,0,OH,1982,Midwest,4.0,Personal
623,20020917X02153,Airplane,No,Turbo Jet,0.0,0.0,0.0,2.0,1982-03-20,"HOUSTON, TX",United States,Imc,0,TX,1982,South,2.0,Personal
661,20020917X02057,Airplane,No,Turbo Prop,0.0,0.0,0.0,3.0,1982-03-23,"CONROE, TX",United States,Imc,0,TX,1982,South,3.0,Personal
663,20020917X01888,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-03-23,"KALAMAZOO, MI",United States,Vmc,0,MI,1982,Midwest,2.0,Personal
669,20020917X02279,Airplane,No,Turbo Jet,0.0,0.0,0.0,7.0,1982-03-24,"MARANA, AZ",United States,Vmc,0,AZ,1982,West,7.0,Personal
676,20020917X01989,Airplane,No,Turbo Prop,0.0,0.0,0.0,20.0,1982-03-25,"DENVER, CO",United States,Vmc,0,CO,1982,West,20.0,Small
709,20020917X02101,Airplane,No,Turbo Prop,1.0,0.0,0.0,0.0,1982-03-29,"HUGHES, AR",United States,Vmc,1,AR,1982,South,1.0,Personal
719,20020917X01901,Airplane,No,Turbo Prop,0.0,0.0,0.0,18.0,1982-03-30,"CHICAGO, IL",United States,Vmc,0,IL,1982,Midwest,18.0,Small
737,20020917X01902,Airplane,No,Turbo Fan,0.0,0.0,0.0,8.0,1982-04-02,"DETROIT, MI",United States,Vmc,0,MI,1982,Midwest,8.0,Personal
768,20020917X01855,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-04-05,"FORT WAYNE, IN",United States,Imc,0,IN,1982,Midwest,2.0,Personal
785,20020917X01697,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-04-07,"WINSTON-SALEM, NC",United States,Vmc,0,NC,1982,South,2.0,Personal
786,20020917X02061,Airplane,No,Turbo Prop,0.0,0.0,0.0,1.0,1982-04-07,"EDNA, TX",United States,Vmc,0,TX,1982,South,1.0,Personal
796,20020917X01904,Airplane,No,Turbo Fan,0.0,0.0,0.0,108.0,1982-04-09,"YOUNGSTOWN, OH",United States,Imc,0,OH,1982,Midwest,108.0,Large
890,20020917X01774,Airplane,No,Turbo Prop,0.0,0.0,0.0,11.0,1982-04-18,"ASHEVILLE, NC",United States,Vmc,0,NC,1982,South,11.0,Small
901,20020917X02079,Airplane,No,Turbo Fan,0.0,0.0,0.0,68.0,1982-04-18,"AUSTIN, TX",United States,Vmc,0,TX,1982,South,68.0,Medium
906,20020917X02479,Airplane,No,Turbo Fan,0.0,0.0,0.0,2.0,1982-04-20,"ST. LOUIS, MO",United States,Vmc,0,MO,1982,Midwest,2.0,Personal
908,20020917X02421,Airplane,No,Turbo Fan,0.0,0.0,0.0,152.0,1982-04-20,"MIAMI, FL",United States,Vmc,0,FL,1982,South,152.0,Large
912,20020917X01741,Airplane,No,Turbo Prop,6.0,1.0,0.0,0.0,1982-04-20,"LAFAYETTE, GA",United States,Vmc,1,GA,1982,South,7.0,Personal
987,20020917X01744,Airplane,No,Turbo Prop,0.0,0.0,0.0,1.0,1982-04-26,"HOT SPRINGS, VA",United States,Imc,0,VA,1982,South,1.0,Personal
1072,20020917X03484,Airplane,No,Turbo Prop,0.0,1.0,0.0,0.0,1982-05-03,"ALVIN, TX",United States,Vmc,0,TX,1982,South,1.0,Personal
1083,20020917X03248,Airplane,No,Turbo Prop,0.0,0.0,0.0,1.0,1982-05-04,"HOUSTON, TX",United States,Vmc,0,TX,1982,South,1.0,Personal
1087,20020917X03241,Airplane,No,Turbo Prop,7.0,0.0,0.0,0.0,1982-05-05,"CHARLOTTE, TX",United States,Vmc,1,TX,1982,South,7.0,Personal
1093,20020917X03100,Airplane,No,Turbo Jet,4.0,0.0,0.0,0.0,1982-05-06,"NEAR SAVANNAH, GA",United States,Vmc,1,GA,1982,South,4.0,Personal
1164,20020917X03106,Airplane,No,Turbo Jet,0.0,0.0,0.0,3.0,1982-05-12,"FT. MYER, FL",United States,Vmc,0,FL,1982,South,3.0,Personal
1216,20020917X03101,Airplane,No,Turbo Prop,0.0,8.0,0.0,0.0,1982-05-16,"HOOPER BAY, AK",United States,Vmc,0,AK,1982,West,8.0,Personal
1245,20020917X03528,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-05-17,"FRESNO, CA",United States,Vmc,0,CA,1982,West,2.0,Personal
1250,20020917X03236,Airplane,No,Turbo Prop,0.0,0.0,0.0,21.0,1982-05-18,"GILLETTE, WY",United States,Vmc,0,WY,1982,West,21.0,Small
1283,20020917X03096,Airplane,No,Turbo Jet,0.0,0.0,0.0,48.0,1982-05-21,"DAYTON, OH",United States,Imc,0,OH,1982,Midwest,48.0,Small
1295,20020917X02737,Airplane,No,Turbo Jet,0.0,1.0,0.0,56.0,1982-05-22,"MEMPHIS, TN",United States,Vmc,0,TN,1982,South,57.0,Medium
1343,20020917X03653,Airplane,No,Turbo Fan,0.0,0.0,25.0,113.0,1982-05-26,"SAN FRANCISCO, CA",United States,Vmc,0,CA,1982,West,138.0,Large
1347,20020917X03237,Airplane,No,Turbo Jet,0.0,0.0,17.0,129.0,1982-05-27,"NEAR GOSHEN, IN",United States,Vmc,0,IN,1982,Midwest,146.0,Large
1360,20020917X03629,Airplane,No,Turbo Prop,0.0,1.0,0.0,5.0,1982-05-28,"PALM SPRINGS, CA",United States,Vmc,0,CA,1982,West,6.0,Personal
1362,20020917X03511,Airplane,No,Turbo Prop,0.0,0.0,0.0,7.0,1982-05-28,"LAKE CHARLES, LA",United States,Vmc,0,LA,1982,South,7.0,Personal
1489,20020917X03815,Airplane,No,Turbo Fan,0.0,1.0,0.0,1.0,1982-06-08,"TOPEKA, KS",United States,Vmc,0,KS,1982,Midwest,2.0,Personal
1493,20020917X03238,Airplane,No,Turbo Prop,0.0,0.0,0.0,29.0,1982-06-08,"GILLETTE, WY",United States,Vmc,0,WY,1982,West,29.0,Small
1521,20020917X03453,Airplane,No,Turbo Jet,0.0,0.0,0.0,8.0,1982-06-11,"ABILENE, TX",United States,Vmc,0,TX,1982,South,8.0,Personal
1581,20020917X02713,Airplane,No,Turbo Prop,0.0,0.0,0.0,10.0,1982-06-16,"NEAR PORT HEIDE, AK",United States,Vmc,0,AK,1982,West,10.0,Personal
1764,20020917X03146,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1982-06-30,"LAS ANIMAS, CO",United States,Vmc,0,CO,1982,West,4.0,Personal
1833,20020917X04180,Airplane,No,Turbo Fan,0.0,0.0,0.0,84.0,1982-07-05,"BOISE, ID",United States,Vmc,0,ID,1982,West,84.0,Medium
1834,20020917X04065,Airplane,No,Turbo Fan,0.0,0.0,0.0,74.0,1982-07-05,"FLUSHING, NY",United States,Vmc,0,NY,1982,Northeast,74.0,Medium
1932,20020917X03675,Airplane,No,Turbo Prop,0.0,0.0,1.0,1.0,1982-07-13,"SCHELLVILLE, CA",United States,Vmc,0,CA,1982,West,2.0,Personal
1969,20020917X03515,Airplane,No,Turbo Fan,0.0,7.0,19.0,142.0,1982-07-16,"MORTON, WY",United States,Vmc,0,WY,1982,West,168.0,Large
2054,20020917X03726,Airplane,No,Turbo Jet,0.0,0.0,0.0,2.0,1982-07-22,"RENO, NV",United States,Vmc,0,NV,1982,West,2.0,Personal
2132,20020917X04067,Airplane,No,Turbo Fan,0.0,0.0,0.0,129.0,1982-07-28,"FLUSHING, NY",United States,Imc,0,NY,1982,Northeast,129.0,Large
2138,20020917X03376,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-07-28,"ABILENE, TX",United States,Vmc,0,TX,1982,South,2.0,Personal
2252,20020917X03896,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-08-05,"ST. JOSEPH, MO",United States,Vmc,0,MO,1982,Midwest,2.0,Personal
2254,20020917X03240,Airplane,No,Turbo Fan,0.0,0.0,0.0,102.0,1982-08-05,"DENVER, CO",United States,Vmc,0,CO,1982,West,102.0,Large
2257,20020917X03173,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1982-08-05,"BILLINGS, MT",United States,Vmc,0,MT,1982,West,4.0,Personal
2335,20020917X03898,Airplane,No,Turbo Fan,0.0,0.0,33.0,0.0,1982-08-12,"NORTH PLATTE, NE",United States,Imc,0,NE,1982,Midwest,33.0,Small
2394,20020917X03513,Airplane,No,Turbo Prop,0.0,0.0,1.0,0.0,1982-08-16,"EL PASO, TX",United States,Vmc,0,TX,1982,South,1.0,Personal
2427,20020917X03857,Airplane,No,Turbo Prop,0.0,0.0,0.0,1.0,1982-08-18,"CAMDENTON, MO",United States,Vmc,0,MO,1982,Midwest,1.0,Personal
2451,20020917X03876,Airplane,No,Turbo Prop,0.0,0.0,0.0,12.0,1982-08-20,"KANSAS CITY, MO",United States,Vmc,0,MO,1982,Midwest,12.0,Small
2456,20020917X03729,Airplane,No,Turbo Fan,0.0,0.0,0.0,393.0,1982-08-21,"HONOLULU, HI",United States,Vmc,0,HI,1982,West,393.0,Jumbo
2499,20020917X03509,Airplane,No,Turbo Prop,2.0,0.0,0.0,0.0,1982-08-23,"JONES, LA",United States,Vmc,1,LA,1982,South,2.0,Personal
2539,20020917X03422,Airplane,No,Turbo Prop,0.0,0.0,0.0,1.0,1982-08-27,"ALVIN, TX",United States,Vmc,0,TX,1982,South,1.0,Personal
2598,20020917X04422,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-09-01,"APPLETON, WI",United States,Vmc,0,WI,1982,Midwest,2.0,Personal
2614,20020917X04491,Airplane,No,Turbo Fan,0.0,1.0,1.0,128.0,1982-09-02,"WASHINGTON, DC",United States,Vmc,0,DC,1982,South,130.0,Large
2678,20020917X04395,Airplane,No,Turbo Prop,0.0,0.0,0.0,3.0,1982-09-06,"PONTIAC, MI",United States,Vmc,0,MI,1982,Midwest,3.0,Personal
2705,20020917X04596,Airplane,No,Turbo Prop,0.0,0.0,0.0,1.0,1982-09-09,"MULESHOE, TX",United States,Vmc,0,TX,1982,South,1.0,Personal
2722,20020917X04502,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1982-09-10,"DELTA, UT",United States,Vmc,0,UT,1982,West,4.0,Personal
2739,20020917X04497,Airplane,No,Turbo Prop,6.0,0.0,0.0,0.0,1982-09-12,"HAYDEN, CO",United States,Vmc,1,CO,1982,West,6.0,Personal
2750,20020917X04526,Airplane,No,Turbo Prop,0.0,0.0,0.0,5.0,1982-09-13,"DENVER, CO",United States,Vmc,0,CO,1982,West,5.0,Personal
2789,20020917X04765,Airplane,No,Turbo Prop,2.0,0.0,0.0,1.0,1982-09-17,"HUNTINGTON BEAC, CA",United States,Vmc,1,CA,1982,West,3.0,Personal
2827,20020917X04608,Airplane,No,Turbo Jet,0.0,0.0,0.0,6.0,1982-09-20,"CRYSTAL CITY, TX",United States,Vmc,0,TX,1982,South,6.0,Personal
3054,20020917X04780,Airplane,No,Turbo Prop,0.0,0.0,1.0,17.0,1982-10-15,"PALM SPRINGS, CA",United States,Vmc,0,CA,1982,West,18.0,Small
3074,20020917X04455,Airplane,No,Turbo Prop,0.0,0.0,0.0,8.0,1982-10-17,"INDIANAPOLIS, IN",United States,Vmc,0,IN,1982,Midwest,8.0,Personal
3076,20020917X04495,Airplane,No,Turbo Fan,0.0,0.0,0.0,65.0,1982-10-18,"HOUSTON, TX",United States,Vmc,0,TX,1982,South,65.0,Medium
3141,20020917X04335,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-10-28,"CLARKSVILLE, TN",United States,Vmc,0,TN,1982,South,2.0,Personal
3170,20020917X04225,Airplane,No,Turbo Prop,0.0,0.0,1.0,2.0,1982-11-01,"BARROW, AK",United States,Vmc,0,AK,1982,West,3.0,Personal
3173,20020917X04355,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-11-01,"WINSTON-SALEM, NC",United States,Vmc,0,NC,1982,South,2.0,Personal
3177,20020917X04699,Airplane,No,Turbo Fan,0.0,1.0,0.0,67.0,1982-11-02,"AUSTIN, TX",United States,Vmc,0,TX,1982,South,68.0,Medium
3199,20020917X04855,Airplane,No,Turbo Prop,0.0,0.0,2.0,2.0,1982-11-05,"SAN FRANCISCO, CA",United States,Vmc,0,CA,1982,West,4.0,Personal
3202,20020917X04299,Airplane,No,Turbo Jet,0.0,0.0,0.0,11.0,1982-11-06,"ELIZABETH CITY, NC",United States,Vmc,0,NC,1982,South,11.0,Small
3247,20020917X04908,Airplane,No,Turbo Fan,1.0,0.0,0.0,3.0,1982-11-11,"MIAMI, FL",United States,Vmc,1,FL,1982,South,4.0,Personal
3251,20020917X04563,Airplane,No,Turbo Prop,0.0,0.0,0.0,1.0,1982-11-11,"ENGLEWOOD, CO",United States,Vmc,0,CO,1982,West,1.0,Personal
3256,20020917X04973,Airplane,No,Turbo Jet,0.0,0.0,0.0,1.0,1982-11-12,"WICHITA, KS",United States,Vmc,0,KS,1982,Midwest,1.0,Personal
3292,20020917X04492,Airplane,No,Turbo Fan,3.0,0.0,0.0,0.0,1982-11-18,"MOUNTAIN VIEW, MO",United States,Imc,1,MO,1982,Midwest,3.0,Personal
3296,20020917X04534,Airplane,No,Turbo Fan,0.0,0.0,0.0,136.0,1982-11-18,"DENVER, CO",United States,Vmc,0,CO,1982,West,136.0,Large
3315,20020917X04302,Airplane,No,Turbo Prop,0.0,2.0,0.0,0.0,1982-11-20,"ATLANTA, GA",United States,Imc,0,GA,1982,South,2.0,Personal
3335,20020917X04669,Airplane,No,Turbo Fan,0.0,0.0,0.0,23.0,1982-11-22,"LITTLE ROCK, AR",United States,Imc,0,AR,1982,South,23.0,Small
3374,20020917X04910,Airplane,No,Turbo Fan,0.0,0.0,0.0,116.0,1982-11-27,"MIAMI, FL",United States,Vmc,0,FL,1982,South,116.0,Large
3391,20020917X05097,Airplane,No,Turbo Prop,0.0,0.0,0.0,20.0,1982-11-30,"NEW HAVEN, CT",United States,Vmc,0,CT,1982,Northeast,20.0,Small
3392,20020917X05142,Airplane,No,Turbo Fan,0.0,0.0,0.0,22.0,1982-12-01,"BOISE, ID",United States,Vmc,0,ID,1982,West,22.0,Small
3417,20020917X04339,Airplane,No,Turbo Fan,0.0,0.0,0.0,5.0,1982-12-05,"WINSTON-SALEM, NC",United States,Vmc,0,NC,1982,South,5.0,Personal
3423,20020917X04915,Airplane,No,Turbo Fan,0.0,0.0,0.0,21.0,1982-12-06,"SARASOTA, FL",United States,Vmc,0,FL,1982,South,21.0,Small
3434,20020917X04528,Airplane,No,Turbo Prop,2.0,0.0,0.0,0.0,1982-12-07,"PUEBLO, CO",United States,Imc,1,CO,1982,West,2.0,Personal
3435,20020917X04341,Airplane,No,Turbo Prop,0.0,0.0,0.0,3.0,1982-12-07,"CHAMBLEE, GA",United States,Vmc,0,GA,1982,South,3.0,Personal
3436,20020917X04832,Airplane,No,Turbo Prop,0.0,0.0,0.0,5.0,1982-12-07,"SAN FRANCISCO, CA",United States,Vmc,0,CA,1982,West,5.0,Personal
3437,20020917X04494,Airplane,No,Turbo Prop,0.0,0.0,0.0,6.0,1982-12-07,"CHANTILLY, VA",United States,Vmc,0,VA,1982,South,6.0,Personal
3445,20020917X04835,Airplane,No,Turbo Jet,0.0,0.0,0.0,1.0,1982-12-09,"NEAR PALM SPRIN, CA",United States,Imc,0,CA,1982,West,1.0,Personal
3447,20020917X04570,Airplane,No,Turbo Fan,0.0,0.0,0.0,57.0,1982-12-09,"DENVER, CO",United States,Vmc,0,CO,1982,West,57.0,Medium
3454,20020917X04436,Airplane,No,Turbo Fan,0.0,0.0,0.0,3.0,1982-12-10,"OVER FARGO, ND",United States,Vmc,0,ND,1982,Midwest,3.0,Personal
3478,20020917X04989,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1982-12-13,"CHESTERFIELD, MO",United States,Vmc,0,MO,1982,Midwest,4.0,Personal
3479,20020917X04988,Airplane,No,Turbo Prop,0.0,0.0,0.0,10.0,1982-12-13,"WICHITA, KS",United States,Vmc,0,KS,1982,Midwest,10.0,Personal
3488,20020917X04375,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-12-14,"COLUMBIA, SC",United States,Vmc,0,SC,1982,South,2.0,Personal
3493,20020917X04478,Airplane,No,Turbo Prop,0.0,0.0,1.0,4.0,1982-12-15,"MUSKEGON, MI",United States,Vmc,0,MI,1982,Midwest,5.0,Personal
3494,20020917X04310,Airplane,No,Turbo Prop,0.0,2.0,3.0,0.0,1982-12-15,"LOUISVILLE, KY",United States,Vmc,0,KY,1982,South,5.0,Personal
3510,20020917X04437,Airplane,No,Turbo Fan,0.0,0.0,0.0,51.0,1982-12-18,"PELLSTON, MI",United States,Imc,0,MI,1982,Midwest,51.0,Medium
3526,20020917X04577,Airplane,No,Turbo Prop,0.0,0.0,0.0,5.0,1982-12-20,"GILLETTE, WY",United States,Vmc,0,WY,1982,West,5.0,Personal
3534,20020917X05143,Airplane,No,Turbo Prop,0.0,0.0,0.0,11.0,1982-12-22,"KLAMATH FALLS, OR",United States,Imc,0,OR,1982,West,11.0,Small
3557,20020917X04672,Airplane,No,Turbo Fan,0.0,0.0,0.0,58.0,1982-12-26,"MEMPHIS, TN",United States,Imc,0,TN,1982,South,58.0,Medium
3571,20020917X04343,Airplane,No,Turbo Jet,0.0,0.0,0.0,73.0,1982-12-28,"WASHINGTON, DC",United States,Vmc,0,DC,1982,South,73.0,Medium
3578,20020917X04671,Airplane,No,Turbo Fan,0.0,0.0,14.0,203.0,1982-12-30,"THERMAL, CA",United States,Vmc,0,CA,1982,West,217.0,Jumbo
4149,20001214X42478,Airplane,No,Turbo Fan,0.0,0.0,0.0,588.0,1983-03-18,"LOS ANGELES, CA",United States,Vmc,0,CA,1983,West,588.0,Jumbo
4285,20001214X42672,Airplane,No,Turbo Prop,1.0,0.0,0.0,4.0,1983-04-02,"MCKINNEY, TX",United States,Vmc,1,TX,1983,South,5.0,Personal
5957,20001214X44248,Airplane,No,Turbo Fan,0.0,0.0,0.0,289.0,1983-08-21,"NORFOLK, VA",United States,Vmc,0,VA,1983,South,289.0,Jumbo
6669,20001214X44944,Airplane,No,Turbo Prop,1.0,0.0,0.0,29.0,1983-10-28,"MIDDLETOWN, PA",United States,Vmc,1,PA,1983,Northeast,30.0,Small
6760,20001214X45013,Airplane,No,Turbo Fan,0.0,0.0,0.0,100.0,1983-11-08,"CHICAGO, IL",United States,Vmc,0,IL,1983,Midwest,100.0,Medium
7708,20001214X38957,Airplane,No,Turbo Prop,0.0,0.0,0.0,1.0,1984-03-14,"MYRTLE BEACH, SC",United States,Vmc,0,SC,1984,South,1.0,Personal
8591,20001214X39980,Airplane,No,Turbo Fan,0.0,0.0,0.0,157.0,1984-06-11,"LOS ANGELES, CA",United States,Vmc,0,CA,1984,West,157.0,Large
10140,20001214X41363,Airplane,No,Turbo Prop,0.0,0.0,0.0,9.0,1984-10-26,"TULSA, OK",United States,Imc,0,OK,1984,South,9.0,Personal
12683,20001214X37356,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1985-08-16,"HILTON HEAD, SC",United States,Vmc,0,SC,1985,South,4.0,Personal
13114,20001214X37718,Airplane,No,Turbo Prop,17.0,0.0,0.0,0.0,1985-09-29,"JENKINSBURG, GA",United States,Vmc,1,GA,1985,South,17.0,Small
14805,20001213X33489,Airplane,No,Turbo Jet,0.0,0.0,0.0,69.0,1986-05-30,"CALVERTON, NY",United States,Vmc,0,NY,1986,Northeast,69.0,Medium
14806,20001213X33489,Airplane,No,Turbo Fan,0.0,0.0,0.0,69.0,1986-05-30,"CALVERTON, NY",United States,Vmc,0,NY,1986,Northeast,69.0,Medium
16647,20001213X30060,Airplane,No,Turbo Prop,10.0,0.0,0.0,0.0,1987-01-15,"KEARNS, UT",United States,Vmc,1,UT,1987,West,10.0,Personal
20014,20001213X25425,Airplane,No,Turbo Prop,0.0,0.0,0.0,5.0,1988-04-05,"ST. PAUL, MN",United States,Imc,0,MN,1988,Midwest,5.0,Personal
20693,20001213X25979,Airplane,No,Turbo Prop,1.0,0.0,0.0,0.0,1988-06-30,"PERRIS, CA",United States,Vmc,1,CA,1988,West,1.0,Personal
24825,20001212X22480,Airplane,No,Turbo Prop,2.0,0.0,0.0,0.0,1990-01-29,"WILLISTON, VT",United States,Imc,1,VT,1990,Northeast,2.0,Personal
25232,20001212X22846,Airplane,No,Turbo Prop,2.0,0.0,0.0,7.0,1990-04-09,"GADSDEN, AL",United States,Vmc,1,AL,1990,South,9.0,Personal
25277,20001212X22966,Airplane,No,Turbo Prop,0.0,0.0,0.0,8.0,1990-04-16,"FORT LAUDERDALE, FL",United States,Vmc,0,FL,1990,South,8.0,Personal
28159,20001212X17360,Airplane,No,Turbo Fan,0.0,0.0,0.0,156.0,1991-06-06,"BOSTON, MA",United States,Vmc,0,MA,1991,Northeast,156.0,Large
29599,20001212X18531,Airplane,No,Turbo Prop,1.0,0.0,0.0,0.0,1991-12-13,"NINILCHIK, AK",United States,Imc,1,AK,1991,West,1.0,Personal
30062,20001211X14270,Airplane,No,Turbo Fan,27.0,9.0,12.0,3.0,1992-03-22,"FLUSHING, NY",United States,Imc,1,NY,1992,Northeast,51.0,Medium
30231,20001211X14468,Airplane,No,Turbo Prop,16.0,6.0,0.0,0.0,1992-04-22,"PERRIS, CA",United States,Vmc,1,CA,1992,West,22.0,Small
31016,20001211X15125,Airplane,No,Turbo Fan,0.0,1.0,9.0,282.0,1992-07-30,"JAMAICA, NY",United States,Vmc,0,NY,1992,Northeast,292.0,Jumbo
35933,20001206X01926,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1994-08-31,"CAPE SABINE, AK",United States,Vmc,0,AK,1994,West,2.0,Personal
37280,20001207X03526,Airplane,No,Turbo Fan,0.0,0.0,0.0,288.0,1995-05-19,"NEWARK, NJ",United States,Vmc,0,NJ,1995,Northeast,288.0,Jumbo
37845,20001207X03963,Airplane,No,Turbo Prop,1.0,0.0,0.0,17.0,1995-07-23,"BELEN, NM",United States,Vmc,1,NM,1995,West,18.0,Small
39039,20001208X05308,Airplane,No,Turbo Prop,0.0,0.0,2.0,14.0,1996-02-07,"BRADFORD, PA",United States,Imc,0,PA,1996,Northeast,16.0,Small
